% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-2,098800000000e+02) | measured fitness | best measured fitness | x1 | x2...
2 0 +8,744388174e+06 +8,744388174e+06 +8,744300284e+06 +8,744300284e+06 -3,8024e+00 +1,4333e-01 +1,5908e+00 +4,0171e-01 +4,8711e+00 -4,4030e+00 -3,3155e+00 +2,2774e-01 +3,3641e+00 -3,2518e-01 +4,4265e+00 -2,7066e+00 -2,1063e+00 -1,2539e+00 -3,7427e+00 -1,7435e+00 -3,5354e+00 -1,5706e+00 -2,2554e+00 +2,0556e+00
4 0 +6,378940605e+06 +6,378940605e+06 +6,378852715e+06 +6,378852715e+06 -2,7249e+00 +3,6652e+00 +3,7403e+00 +3,3031e+00 -1,9152e+00 -4,9223e-01 -2,5330e+00 -2,4812e+00 +1,8585e+00 -4,8092e+00 -3,2346e+00 -2,9600e+00 -4,3801e+00 +4,3555e+00 -5,7588e-01 +3,4696e-01 +2,3369e+00 +1,9246e-01 +1,0482e+00 +3,7801e+00
13 0 +4,975871661e+06 +4,975871661e+06 +4,975783771e+06 +4,975783771e+06 -3,2293e+00 +4,0163e+00 -2,4596e+00 -3,2323e+00 -3,0194e+00 -2,7138e+00 +3,4968e+00 -5,7744e-01 -3,4157e+00 +7,2975e-01 -2,8230e+00 +1,4579e+00 +4,2178e-01 +3,1290e-01 -4,6878e+00 +1,0953e+00 -1,2882e+00 +1,6420e+00 -3,6432e+00 +3,0307e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (3,201900000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +5,976532341e+06 +5,976532341e+06 +5,976852531e+06 +5,976852531e+06 -2,7487e+00 -3,0335e+00 -7,0514e-02 +3,8304e+00 -1,9271e+00 +3,8996e+00 +2,0312e+00 -2,0287e+00 -3,2500e+00 -1,5896e+00 -4,9914e+00 -1,9680e+00 +2,4327e+00 -4,5857e+00 +2,8272e+00 +1,2981e-01 +1,9055e+00 +2,4307e+00 +3,2936e+00 +3,3812e+00
27 0 +4,230215870e+06 +4,230215870e+06 +4,230536060e+06 +4,230536060e+06 +1,6283e+00 -1,2140e+00 -2,8852e+00 +4,1603e+00 -9,5194e-01 -1,9491e+00 -1,6817e+00 -1,5295e-02 +3,3344e+00 -4,1792e+00 +3,8951e-01 +1,1687e+00 +4,5993e+00 -3,6226e+00 +1,6216e+00 +2,6936e+00 -8,4933e-01 +2,7832e+00 +2,1109e+00 +5,1848e-01
32 0 +1,360377804e+06 +1,360377804e+06 +1,360697994e+06 +1,360697994e+06 -1,9116e+00 -4,0799e+00 +6,6622e-01 +4,5533e-01 -4,5286e+00 +3,6023e+00 +1,0714e+00 +5,0448e-01 +4,5029e+00 -4,3230e+00 -4,1874e+00 +2,5980e+00 -3,3624e+00 +4,9660e+00 -3,8274e-01 +1,3491e+00 +3,8072e+00 +1,7509e+00 +2,7682e+00 +1,6535e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,042400000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +3,771569435e+07 +3,771569435e+07 +3,771559011e+07 +3,771559011e+07 +4,0122e+00 -2,9179e-01 -2,2899e+00 -5,2362e-01 +2,7648e+00 +3,1126e+00 +4,0095e-01 -3,5105e+00 +3,7424e+00 -4,4349e+00 +4,9471e+00 -4,6574e+00 +1,9806e+00 +2,7149e+00 +9,1034e-01 -1,1663e-01 +3,2466e+00 +2,7757e+00 +1,0479e+00 +1,5700e+00
2 0 +2,049324758e+07 +2,049324758e+07 +2,049314334e+07 +2,049314334e+07 -3,3298e-01 -2,4524e+00 +1,8443e+00 +1,0962e+00 +8,4708e-01 +8,1345e-01 +1,2695e+00 -1,0667e+00 -3,4973e+00 -3,6738e+00 +2,5817e+00 +3,2752e+00 +7,3494e-01 +4,2877e+00 +3,8366e-01 -4,9031e+00 +1,2527e+00 +3,4746e+00 -3,4015e+00 -2,1831e+00
3 0 +1,223896739e+07 +1,223896739e+07 +1,223886315e+07 +1,223886315e+07 -9,1614e-01 -4,0180e+00 -4,5288e-01 +3,4010e+00 -4,3851e+00 +2,9284e+00 -1,1092e+00 -2,3455e+00 +4,1610e+00 +2,4101e+00 +2,8428e+00 +4,9171e+00 +2,6908e+00 -4,5082e+00 +1,7612e+00 -3,5879e+00 +2,8177e+00 +2,0848e+00 +3,9996e+00 -2,9062e+00
9 0 +8,285909359e+06 +8,285909359e+06 +8,285805119e+06 +8,285805119e+06 -3,6410e+00 +3,8186e+00 +2,3613e+00 -4,5871e+00 -3,9473e+00 +3,9429e-01 +3,4822e+00 +2,0137e+00 +4,4866e+00 -3,3666e+00 +5,6358e-01 -3,6283e+00 -3,2872e+00 +1,4884e+00 -4,8127e+00 +2,1843e+00 +3,0648e+00 -3,9380e+00 +1,7186e+00 -2,0790e+00
10 0 +7,649578618e+06 +7,649578618e+06 +7,649474378e+06 +7,649474378e+06 +1,5614e+00 +4,8260e+00 -4,9445e+00 +3,0425e+00 +9,2337e-01 -1,9729e+00 +2,0131e+00 +2,2985e+00 +3,4237e+00 +3,8219e+00 -3,8536e-01 +4,1699e+00 +3,4081e+00 -2,1289e+00 +3,4504e+00 +3,2429e+00 +2,9907e+00 -1,1237e+00 +3,2248e+00 -3,4157e+00
38 0 +2,508079962e+06 +2,508079962e+06 +2,507975722e+06 +2,507975722e+06 +3,3574e+00 +1,5762e+00 -9,2299e-01 +9,8335e-01 -3,3677e+00 +3,1166e+00 +2,4117e+00 +7,5237e-01 +2,9356e+00 +3,0259e+00 -4,1477e+00 +4,4745e+00 +1,6018e+00 -2,1893e+00 -1,5259e-01 -4,9962e+00 +4,8566e+00 -4,0173e-02 -2,1275e-02 -3,7589e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-6,785000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,038781100e+07 +1,038781100e+07 +1,038774315e+07 +1,038774315e+07 -4,6564e+00 -3,4963e+00 -2,5247e-01 +3,2873e-01 +2,9127e+00 +4,6408e+00 +1,4547e+00 +1,2482e+00 +3,5177e+00 -1,6335e+00 -3,6581e+00 -1,2251e+00 -2,3664e+00 -4,3106e+00 +2,2358e+00 -4,2277e+00 -4,1430e+00 -4,3722e+00 +6,9738e-01 +4,5309e+00
