% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (4,078000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +7,895421183e+01 +7,895421183e+01 -7,325788175e+00 -7,325788175e+00 -4,7794e+00 +9,7177e-01 -4,7433e-01 -5,3360e-01 +4,3297e+00 -3,4500e+00 +1,1714e+00 -9,1825e-01 -4,0282e+00 -1,1481e+00
3 0 +4,874499637e+01 +4,874499637e+01 -3,753500363e+01 -3,753500363e+01 -4,0770e+00 +2,4250e+00 +1,6427e+00 +1,9020e+00 -2,7608e+00 -2,4090e+00 +4,8349e+00 -3,5999e+00 +7,4342e-01 -3,9025e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2,224000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8,322466470e+01 +8,322466470e+01 +1,054646647e+02 +1,054646647e+02 -1,6457e+00 +8,7300e-01 +8,1155e-01 -3,1523e+00 +3,7267e+00 -4,8983e+00 +1,5938e+00 +4,4653e+00 +4,4034e-01 -4,6140e+00
2 0 +7,332501476e+01 +7,332501476e+01 +9,556501476e+01 +9,556501476e+01 +8,2690e-01 +3,6346e+00 -2,5976e+00 -3,1274e+00 +3,9053e+00 -4,4650e+00 -4,0312e+00 -4,2476e+00 +4,5633e-01 -4,0223e+00
16 0 +7,078631564e+01 +7,078631564e+01 +9,302631564e+01 +9,302631564e+01 -4,3619e+00 +1,3199e+00 -8,8654e-02 +4,1898e+00 +3,7108e+00 -4,7374e+00 -3,5908e-01 -1,9263e+00 +1,6240e+00 -4,6859e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-2,301000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +7,452086257e+01 +7,452086257e+01 +5,151086257e+01 +5,151086257e+01 +4,8827e+00 -2,6124e+00 +2,4208e+00 -2,2405e+00 -2,9450e+00 +3,9115e+00 -1,2601e-01 +4,9546e+00 -1,6003e+00 +3,8717e+00
4 0 +7,074780839e+01 +7,074780839e+01 +4,773780839e+01 +4,773780839e+01 +1,1620e+00 -1,5623e+00 -1,9985e+00 +1,8012e+00 +4,2488e+00 +3,5045e+00 -3,8833e+00 -1,4785e+00 -1,1343e+00 +2,9111e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-3,323700000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +6,987111728e+01 +6,987111728e+01 -2,624988827e+02 -2,624988827e+02 +4,0859e+00 -4,2333e+00 +1,1143e+00 +3,3312e+00 -1,4312e+00 +2,3444e+00 -1,7439e+00 +9,2411e-01 +2,2768e+00 -1,9336e+00
6 0 +6,884727818e+01 +6,884727818e+01 -2,635227218e+02 -2,635227218e+02 -1,4474e+00 +3,1304e+00 +3,5420e+00 -1,1343e+00 -1,1888e+00 -3,1242e+00 -4,5723e+00 +1,3953e+00 -2,0605e+00 -2,7637e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,231300000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +7,294531328e+01 +7,294531328e+01 -5,018468672e+01 -5,018468672e+01 +1,2728e-01 +3,1358e-02 -2,2736e+00 +5,2143e-01 +4,4775e+00 -4,2405e+00 -3,7824e+00 -1,2300e+00 -9,0418e-01 -2,0414e+00
9 0 +6,583055881e+01 +6,583055881e+01 -5,729944119e+01 -5,729944119e+01 -3,2505e-01 -2,3612e+00 -7,5799e-01 +4,2203e+00 -4,3639e+00 -1,3355e+00 -4,4943e+00 +1,3757e-01 -3,2214e+00 -1,4890e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,537900000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +4,809902563e+01 +4,809902563e+01 -1,056909744e+02 -1,056909744e+02 +1,9489e+00 +3,3267e+00 +9,1582e-01 -1,9717e+00 +3,9244e+00 +2,2432e+00 +2,8661e+00 -1,3620e-01 +2,4320e+00 -3,4006e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-4,860000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +5,981479496e+01 +5,981479496e+01 +1,121479496e+01 +1,121479496e+01 +7,2760e-01 +6,1249e-02 -1,3165e+00 +5,1810e-01 -1,2827e+00 -3,7758e+00 +2,3579e+00 -5,1521e-01 -2,5652e+00 -2,9594e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2,770000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +7,652426289e+01 +7,652426289e+01 +1,042242629e+02 +1,042242629e+02 +2,5892e+00 -2,1603e+00 -1,5235e+00 -2,6943e+00 -4,2416e+00 +3,2302e+00 -5,9308e-01 -1,8859e+00 -8,8435e-01 -1,1527e-01
8 0 +7,549906554e+01 +7,549906554e+01 +1,031990655e+02 +1,031990655e+02 -4,9837e+00 -1,4122e+00 +3,3681e+00 -9,5437e-02 +2,3708e+00 -4,6688e+00 -3,1946e+00 -2,8875e+00 +1,2677e+00 +2,0258e+00
9 0 +6,211498278e+01 +6,211498278e+01 +8,981498278e+01 +8,981498278e+01 -4,5729e+00 -4,3083e+00 -2,6518e+00 +4,2896e+00 -2,8076e+00 +2,6230e+00 -3,3446e+00 +1,9447e-02 +2,5429e+00 -3,7829e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2,993000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +7,791734237e+01 +7,791734237e+01 +1,078473424e+02 +1,078473424e+02 -3,2257e+00 -3,0418e-01 -7,9926e-01 +4,1183e+00 -1,3824e+00 +2,5423e+00 +4,4543e+00 -2,7348e-02 -3,4033e+00 +4,4574e+00
6 0 +7,445871768e+01 +7,445871768e+01 +1,043887177e+02 +1,043887177e+02 -2,4523e-01 +2,3390e+00 +1,0517e+00 +4,9828e+00 -1,8684e+00 +2,8691e+00 -2,0123e+00 -8,1549e-01 +4,3004e+00 +4,8395e+00
12 0 +5,693534998e+01 +5,693534998e+01 +8,686534998e+01 +8,686534998e+01 -1,8551e+00 -4,2880e+00 +4,1563e+00 +2,7624e+00 +5,6835e-01 -3,8406e+00 -1,8259e-01 -3,3318e+00 -9,6550e-01 +3,2809e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,983000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +7,750572404e+01 +7,750572404e+01 +5,767572404e+01 +5,767572404e+01 +1,9515e+00 -3,6484e-01 +9,5981e-01 -9,2293e-01 -2,8054e+00 -2,9931e+00 +5,7079e-01 -3,8133e+00 -1,4864e+00 -8,9170e-01
4 0 +6,688704357e+01 +6,688704357e+01 +4,705704357e+01 +4,705704357e+01 +2,5330e+00 -1,7734e+00 +2,3013e-01 +3,5277e+00 -1,3888e+00 -3,7110e+00 -2,3407e+00 -2,7074e+00 +4,4415e+00 +3,4327e-01
20 0 +5,713631369e+01 +5,713631369e+01 +3,730631369e+01 +3,730631369e+01 +3,4798e-01 +2,8901e+00 +2,0936e+00 -3,2924e+00 -3,8309e+00 +2,5356e+00 +2,1473e+00 -1,0024e+00 +1,0964e+00 -8,3420e-02
