% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1,026100000000e+02) | measured fitness | best measured fitness | x1 | x2...
37 0 +1,404930346e+03 +1,404930346e+03 +4,049303465e+02 +4,049303465e+02
38 0 +1,283555911e+03 +1,283555911e+03 +2,835559110e+02 +2,835559110e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,738379775e+03 +1,738379775e+03 +7,383797746e+02 +7,383797746e+02
3 0 +1,648393526e+03 +1,648393526e+03 +6,483935257e+02 +6,483935257e+02
5 0 +1,296191774e+03 +1,296191774e+03 +2,961917736e+02 +2,961917736e+02
20 0 +1,229785278e+03 +1,229785278e+03 +2,297852781e+02 +2,297852781e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,272000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,941510111e+03 +1,941510111e+03 +1,928790111e+03 +1,928790111e+03
2 0 +1,751701334e+03 +1,751701334e+03 +1,738981334e+03 +1,738981334e+03
3 0 +1,513097501e+03 +1,513097501e+03 +1,500377501e+03 +1,500377501e+03
4 0 +1,450001814e+03 +1,450001814e+03 +1,437281814e+03 +1,437281814e+03
20 0 +1,439123560e+03 +1,439123560e+03 +1,426403560e+03 +1,426403560e+03
22 0 +1,404693764e+03 +1,404693764e+03 +1,391973764e+03 +1,391973764e+03
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5,954000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,478109862e+03 +1,478109862e+03 +1,418569862e+03 +1,418569862e+03
25 0 +1,432967233e+03 +1,432967233e+03 +1,373427233e+03 +1,373427233e+03
33 0 +1,409117770e+03 +1,409117770e+03 +1,349577770e+03 +1,349577770e+03
64 0 +1,319528421e+03 +1,319528421e+03 +1,259988421e+03 +1,259988421e+03
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,151342895e+03 +1,151342895e+03 +1,513428955e+02 +1,513428955e+02
54 0 +1,092640583e+03 +1,092640583e+03 +9,264058342e+01 +9,264058342e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (4,303000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,598740487e+03 +1,598740487e+03 +1,641770487e+03 +1,641770487e+03
7 0 +1,556780098e+03 +1,556780098e+03 +1,599810098e+03 +1,599810098e+03
11 0 +1,493835706e+03 +1,493835706e+03 +1,536865706e+03 +1,536865706e+03
13 0 +1,313916976e+03 +1,313916976e+03 +1,356946976e+03 +1,356946976e+03
