% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (4,078000000000e+01) | measured fitness | best measured fitness | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,537900000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,998933305e+01 +1,998933305e+01 -1,338006669e+02 -1,338006669e+02 -8,4906e-01 -2,3828e+00 -3,7602e+00
3 0 +1,143001651e+01 +1,143001651e+01 -1,423599835e+02 -1,423599835e+02 +2,2085e+00 -2,5966e-01 -2,7151e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-4,860000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +2,274413415e+01 +2,274413415e+01 -2,585586585e+01 -2,585586585e+01 -1,2191e-01 +1,1225e+00 -2,6298e-01
2 0 +2,043113062e+01 +2,043113062e+01 -2,816886938e+01 -2,816886938e+01 +1,1380e+00 +1,8013e+00 -4,2279e+00
3 0 +1,367219153e+01 +1,367219153e+01 -3,492780847e+01 -3,492780847e+01 -1,3935e+00 -2,2164e+00 -1,3109e+00
6 0 +7,366134880e+00 +7,366134880e+00 -4,123386512e+01 -4,123386512e+01 +1,5909e+00 -2,8263e-01 -2,7689e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2,770000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +3,244638552e+01 +3,244638552e+01 +6,014638552e+01 +6,014638552e+01 +1,5659e+00 -2,3482e+00 -3,7144e+00
4 0 +2,794691532e+00 +2,794691532e+00 +3,049469153e+01 +3,049469153e+01 +5,8841e-01 -3,4559e+00 -2,9471e+00
5 0 +2,268148814e+00 +2,268148814e+00 +2,996814881e+01 +2,996814881e+01 -4,2400e-01 -2,5085e+00 -4,4476e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2,993000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +2,562302311e+01 +2,562302311e+01 +5,555302311e+01 +5,555302311e+01 -2,5928e+00 -4,4665e+00 +2,6631e+00
2 0 +4,438493677e+00 +4,438493677e+00 +3,436849368e+01 +3,436849368e+01 -3,5520e+00 +2,7582e+00 +3,6723e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,983000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +2,817498019e+01 +2,817498019e+01 +8,344980189e+00 +8,344980189e+00 -4,0961e-01 -1,5016e-01 +1,9635e+00
2 0 +9,890581035e+00 +9,890581035e+00 -9,939418965e+00 -9,939418965e+00 +3,5685e+00 +3,2219e+00 +2,2379e+00
6 0 +7,994532429e+00 +7,994532429e+00 -1,183546757e+01 -1,183546757e+01 +4,2881e+00 -2,1636e+00 -2,2173e+00
